seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
443,768,297,5314,128241,768,1
444,768,297,5352,128315,768,1
445,768,297,5333,128630,768,1
446,768,297,5370,128370,768,1
447,768,296,5315,128611,768,1
448,768,297,5574,128704,768,1
449,768,297,5389,128241,768,1
450,768,296,5352,128611,768,1
451,768,297,5296,128185,768,1
452,768,297,5370,128537,768,1
453,768,296,5315,127926,768,1
454,768,315,5537,128574,768,1
455,768,296,5352,128241,768,1
456,768,296,5445,128630,768,1
457,768,296,5352,128667,768,1
458,768,296,5426,128445,768,1
459,768,296,5370,128482,768,1
460,768,278,5352,128297,768,1
461,768,297,5314,128093,768,1
462,768,315,5333,128815,768,1
463,768,297,5352,128259,768,1
464,768,297,5500,128223,768,1
465,768,297,5352,128093,768,1
466,768,296,5333,128333,768,1
467,768,315,5278,128259,768,1
468,768,296,5334,128148,768,1
469,768,297,5333,129056,768,1
470,768,315,5333,128815,768,1
471,768,296,5426,128629,768,1
472,768,296,5296,128556,768,1
473,768,297,5351,128333,768,1
474,768,296,5408,130130,768,1
475,768,296,5370,128556,768,1
476,768,314,5352,128630,768,1
477,768,296,5407,128482,768,1
478,768,297,5352,128222,768,1
479,768,315,5370,128130,768,1
480,768,315,5463,128371,768,1
481,768,297,5333,128185,768,1
482,768,296,5315,128185,768,1
483,768,296,5297,128055,768,1
484,768,296,5315,128389,768,1
485,768,296,5296,128574,768,1
486,768,296,5315,129223,768,1
487,768,297,5315,128407,768,1
488,768,296,5444,128593,768,1
489,768,296,5333,128352,768,1
490,768,296,5315,128482,768,1
491,768,297,5315,128259,768,1
492,768,277,5371,128388,768,1
493,768,296,5315,128407,768,1
494,768,315,5277,128704,768,1
495,768,297,5389,127944,768,1
496,768,296,5463,128482,768,1
497,768,296,5297,128425,768,1
498,768,296,5296,128167,768,1
499,768,296,5297,128389,768,1
500,768,296,5296,127926,768,1
501,768,296,5278,128407,768,1
502,768,296,7093,130186,768,1
503,768,297,5296,128759,768,1
504,768,296,5278,127963,768,1
505,768,296,5333,127833,768,1
506,768,297,5370,128611,768,1
507,768,296,5296,128704,768,1
508,768,296,5370,128019,768,1
509,768,297,5296,128167,768,1
510,768,297,5333,128759,768,1
511,768,296,5315,128166,768,1
512,768,296,5463,128444,768,1
513,768,296,5333,127834,768,1
514,768,297,5314,128167,768,1
515,768,278,5277,128315,768,1
516,768,296,5333,128297,768,1
517,768,297,5278,128556,768,1
518,768,315,5500,128907,768,1
519,768,296,5352,128130,768,1
520,768,297,5315,129074,768,1
521,768,296,5408,128871,768,1
522,768,297,5370,128611,768,1
523,768,297,5333,128296,768,1
524,768,296,5352,128444,768,1
525,768,297,5333,128296,768,1
526,768,297,5370,128000,768,1
527,768,296,5315,128093,768,1
528,768,296,5482,128481,768,1
529,768,296,5315,128426,768,1
530,768,296,5297,128685,768,1
531,768,314,5334,128259,768,1
532,768,296,5315,130092,768,1
533,768,315,5370,128425,768,1
534,768,296,5352,128278,768,1
535,768,297,5296,128537,768,1
536,768,296,5260,128259,768,1
537,768,314,5389,129852,768,1
538,768,297,5407,128537,768,1
539,768,314,5389,128204,768,1
540,768,296,5315,128259,768,1
541,768,296,5315,128111,768,1
542,768,296,5296,128371,768,1
543,768,278,5333,128555,768,1
544,768,296,5482,128574,768,1
545,768,297,5315,128148,768,1
546,768,296,5315,128278,768,1
547,768,296,5296,128222,768,1
548,768,315,5833,133389,768,1
549,768,315,9463,135277,768,1
550,768,297,6111,129000,768,1
551,768,296,5426,129314,768,1
552,768,296,5333,128926,768,1
553,768,296,5334,128259,768,1
554,768,296,5352,129463,768,1
555,768,296,5370,128519,768,1
556,768,296,5352,128611,768,1
557,768,296,5315,128296,768,1
558,768,315,5315,128296,768,1
559,768,296,5370,128648,768,1
560,768,296,5612,128740,768,1
561,768,296,5296,128074,768,1
562,768,296,5352,129074,768,1
