run,test,mode,payload_bytes,app_sendto_packets,app_overdrive_packets,app_overdrive_pct,sent_packets,received_packets,lost_packets,loss_pct,loss_ci95_low_pct,loss_ci95_high_pct,udp_goodput_mbps,wire_utilization_pct,theoretical_udp_mbps,rtt_count,rtt_ok,rtt_lost,build_median_ns,build_mean_ns,build_std_ns,build_p95_ns,build_p99_ns,sendto_median_ns,sendto_mean_ns,sendto_std_ns,sendto_p95_ns,sendto_p99_ns,rtt_mean_us,rtt_std_us,rtt_median_us,rtt_p95_us,rtt_p99_us,rtt_max_us,rtt_jitter_us,fpga_rx_delta,fpga_tx_delta,iface_tx_packets_delta,iface_rx_packets_delta,iface_tx_bytes_delta,iface_rx_bytes_delta,iface_tx_errors_delta,iface_rx_errors_delta,iface_tx_dropped_delta,iface_rx_dropped_delta,iface_tx_fifo_errors_delta,iface_rx_fifo_errors_delta,iface_rx_missed_errors_delta,udp_out_datagrams_delta,udp_in_datagrams_delta,udp_in_errors_delta,udp_rcvbuf_errors_delta,udp_sndbuf_errors_delta,udp_no_ports_delta,udp_in_csum_errors_delta,ip_out_requests_delta,ip_in_receives_delta,ip_in_delivers_delta,ip_in_discards_delta,ip_out_discards_delta,ip_in_hdr_errors_delta,ip_in_addr_errors_delta,fpga_rx_flood_packets,fpga_tx_flood_packets,loopback_internal_lost,loopback_internal_loss_pct,loopback_return_lost,loopback_return_loss_pct,fpga_rx_bad_delta,fpga_tx_bad_delta,repetitions,udp_goodput_mbps_min,udp_goodput_mbps_max,udp_goodput_mbps_std,wire_utilization_pct_min,wire_utilization_pct_max,wire_utilization_pct_std,loss_pct_min,loss_pct_max,loss_pct_std,rtt_mean_us_min,rtt_mean_us_max,rtt_mean_us_std,build_mean_ns_min,build_mean_ns_max,build_mean_ns_std,sendto_mean_ns_min,sendto_mean_ns_max,sendto_mean_ns_std,_device,_runs_dir
aggregate,tx,random,1280,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,950.963975108238,99.99980550747564,950.9658246656761,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,60,1322000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,950.9632058959934,950.9646613059543,0.0007312476307837513,99.99972462000055,99.99987766545426,7.689525867804796e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-eth0,test/server/eth0/runs
aggregate,tx,random,1440,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,956.1744170210728,99.99990778012054,956.1752988047808,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,60,1482000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,956.1739400981196,956.1753169790958,0.0007798521066898217,99.99985790192834,100.00000190073044,8.155953282937007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-eth0,test/server/eth0/runs
aggregate,loopback,loopback,256,6785043,4831258,71.20341422253223,1953786,1940979,12807,0.6554796081574767,0.6442610526337244,0.666892201925711,795.0240368920216,99.9991171403246,795.0310559006211,10000,10000,0,60.0,57.28686666666667,7.4264889563121335,60.0,60.0,833.3333333333334,843.1996666666666,273.3710151021554,930.0,1016.6666666666666,42.89244703333333,6.637074580124445,44.763,55.18683333333333,61.626666666666665,93.033,1.122085741907524,1963789,1963781,1953626,1950983,582180647,581398695,0,0,0,0,0,0,0,6795043,1950979,0,0,0,27,0,6795047,1951006,1951006,0,0,0,0,1953786,1953778,8,0.00040946149501463737,12799,0.6550728289334536,76,0,3,795.0183715058412,795.0312567248739,0.006581750961681578,99.99840454096909,100.00002525992555,0.0008278608631543783,0.6542183314208033,0.6563121226576367,0.0011107962132880808,37.6058369,52.4851617,8.321987672123118,57.1678,57.353,0.10332576316356583,830.3205,866.8053,20.4713940200303,server-nic0,test/server/nic0/runs
aggregate,loopback,loopback,512,6824322,5731451,83.98534140380099,1092870,1081310,11561,1.0578259820085778,1.0388167087599467,1.0771793192868901,885.8084661461137,99.9994713735261,885.8131487889274,10000,10000,0,80.0,83.5302,11.986371625932723,90.0,90.0,840.0,851.5965,300.10110195689856,933.3333333333334,1063.3333333333333,52.42296336666667,6.494648943203065,48.013333333333335,60.01981666666667,62.403460000000074,111.31666666666666,0.853018901890189,1102873,1102865,1092659,1091310,605333271,604585555,0,0,0,0,0,0,0,6834322,1091310,0,0,0,0,0,6834322,1091310,1091310,0,0,0,0,1092870,1092862,8,0.0007320173087634986,11553,1.057101702867029,66,0,3,885.8074345859769,885.8096694964441,0.001127315440376728,99.99935492005754,99.99960722049701,0.00012726334463924216,1.056227192703129,1.0603021696483472,0.002174564359547963,47.989349000000004,61.280409,7.670774490744279,83.091,84.3098,0.6769582557292565,845.7981,856.7537,5.505873765352784,server-nic0,test/server/nic0/runs
aggregate,loopback,loopback,768,6417904,5659326,88.17867182813603,758577,749379,9198,1.211927101863136,1.18768977827323,1.23665856071686,920.8369398282435,99.99713643447332,920.863309352518,10000,10000,0,110.0,108.12136666666667,8.459377998376894,110.0,110.0,863.3333333333334,871.1532333333333,304.37555448644366,953.3333333333334,1060.0,72.29017879999999,12.416769193150918,69.83966666666667,98.13966666666667,98.55969666666667,116.53666666666666,2.8451982531586495,768580,768572,760301,759379,615844080,615097260,0,0,0,0,0,0,0,6427904,759379,0,0,0,8,0,6427904,759387,759380,0,0,0,0,758577,758569,8,0.0010546122078363006,9190,1.2108852534029295,69,0,3,920.8306907193977,920.8417167681321,0.005658524432444278,99.99645782030959,99.99765518028934,0.0006144803875891122,0.8823548862832239,1.4673726534857332,0.2994703970641052,67.1425046,76.6233046,4.792599397191146,107.9616,108.3328,0.19091737305267442,844.6171,895.1164,25.34777984801296,server-nic0,test/server/nic0/runs
aggregate,loopback,loopback,1024,6211422,5626488,90.58201621168246,584934,573359,11575,1.9787646374586474,1.9434053857234928,2.014754630873739,939.3913116387805,99.99380172717488,939.4495412844037,10000,10000,0,130.0,133.70803333333333,19.873230313232835,140.0,140.0,876.6666666666666,879.8797999999999,292.981219280482,953.3333333333334,1076.6666666666667,87.23246806666667,7.580878669105904,83.45666666666666,101.60615,102.16336333333334,134.16266666666667,0.8428304830483049,594937,594929,584234,583359,622793444,621860694,0,0,0,0,0,0,0,6221422,583359,0,0,0,12,0,6221426,583369,583367,0,0,0,0,584934,584926,8,0.0013676769757429428,11567,1.977424003247527,70,0,3,939.3749495586278,939.4191807196624,0.024257106194966772,99.99206006043987,99.99676826019844,0.0025820552492656444,1.8906538489838314,2.1469188812811884,0.1456817001294047,83.1423278,93.4474253,5.471279007462742,133.4416,134.1155,0.3584035481595192,874.971,888.4282,7.430280888364832,server-nic0,test/server/nic0/runs
aggregate,loopback,loopback,1280,6094623,5620030,92.21213342920584,474593,464303,10290,2.1677931073663586,2.126784198572028,2.2095763464982725,950.8924444732025,99.9922836141352,950.9658246656761,10000,10000,0,160.0,159.25026666666668,22.912882095686662,160.0,170.0,846.6666666666666,855.5231,285.7781513684916,943.3333333333334,1070.033333333334,95.28128586666666,4.251885876152873,94.46933333333334,102.98933333333333,111.09933666666667,135.89933333333335,0.7449223589025569,484596,484588,474984,474303,627929289,627034735,0,0,0,0,0,0,0,6104623,474303,0,0,0,5,0,6104625,474308,474308,0,0,0,0,474593,474585,8,0.0016856614172037782,10282,2.1661439545401566,58,0,3,950.8904338117655,950.8944518381579,0.0020090152245678104,99.99207218051848,99.99249470110628,0.00021126050719913624,1.9205907950215044,2.295200638035054,0.2141173180952161,94.2842959,96.7169637,1.2742854623512005,158.9992,159.5607,0.2854187508439696,827.4673,873.4669,24.610571062858316,server-nic0,test/server/nic0/runs
aggregate,loopback,loopback,1440,6021967,5598027,92.95913282360448,423941,414955,8986,2.1162186153726603,2.073826166762343,2.1594789284959517,956.0554495109668,99.98746576135528,956.1752988047808,10000,10000,0,170.0,174.86936666666665,12.302718783450539,180.0,180.0,836.6666666666666,850.3011333333334,356.3791163939951,940.0,1023.3333333333334,102.16347443333333,3.6442659851618973,101.333,109.01935,109.57943333333334,165.18933333333334,0.751028236156949,433944,433936,425531,424955,630637436,629782816,0,0,0,0,0,0,0,6031967,424955,0,0,0,8,0,6031971,424962,424962,0,0,0,0,423941,423933,8,0.001887122576444181,8978,2.114371328807347,72,0,3,956.0354585681478,956.0792555961452,0.02214636310480674,99.98537504191879,99.98995548109687,0.0023161404747192396,1.297570652781511,2.526608551851147,0.7089707337058647,101.1219842,104.2320984,1.7914952871481002,174.7591,174.9924,0.11717279263265473,831.631,886.903,31.700296390622814,server-nic0,test/server/nic0/runs
aggregate,tx,random,256,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,795.0016540167535,99.99630179429477,795.0310559006211,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,51,298000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,794.9917467066176,795.0143862142693,0.011581097452730062,99.99505564044175,99.99790326601355,0.0014566849139750974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-nic0,test/server/nic0/runs
aggregate,tx,random,512,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,885.7951141875238,99.99796406257595,885.8131487889274,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,51,554000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,885.7940975110744,885.7959520106807,0.0009400976399831163,99.99784928933614,99.99805864495576,0.00010612821013529936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-nic0,test/server/nic0/runs
aggregate,tx,random,768,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,920.8549862337096,99.99909616131691,920.863309352518,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,51,810000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,920.8544281863392,920.8560761053302,0.0009439475753659363,99.99903556086026,99.9992145145632,0.00010250680701183931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-nic0,test/server/nic0/runs
aggregate,tx,random,1024,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,939.4442179112492,99.99943335188101,939.4495412844037,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,51,1066000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,939.443455802403,939.4450191279041,0.0007823961407542954,99.99935222896673,99.99951863763822,8.328240169846928e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-nic0,test/server/nic0/runs
aggregate,tx,random,1280,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,950.9618544060105,99.99958250238204,950.9658246656761,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,51,1322000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,950.9614917325717,950.9624490492487,0.0005191062472073715,99.99954436500323,99.99964503283506,5.458726631623614e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-nic0,test/server/nic0/runs
aggregate,tx,random,1440,0,0,0.0,1000000,1000000,0,0.0,4.2351647362715017e-20,0.0003841444063944942,956.1685904927973,99.99929842237172,956.1752988047808,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1000001,1,1000000,51,1482000000,0,0,0,0,0,0,0,1,1000000,0,0,0,0,0,1,1000000,1000000,0,0,0,0,,,,,,,0,0,3,956.1683132524126,956.1689640266676,0.0003359034225145904,99.99926942764816,99.99933748778899,3.5129899604079904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,server-nic0,test/server/nic0/runs
aggregate,loopback,loopback,256,5429112,3486136,64.21186390733256,1942976,1940992,1984,0.10211139870946662,0.09771821231590581,0.10670189102788168,795.0300902560166,99.9998785400146,795.0310559006211,10000,10000,0,60.0,57.3675,17.262392521805207,60.0,60.0,826.6666666666666,828.4457333333334,241.38898437279096,916.6666666666666,1076.7333333333347,35.52071556666667,1.744441837403787,35.53,37.18,38.09987,146.82933333333335,1.1445536220288695,1952979,1952973,5439118,1968601,1620857233,582455926,0,0,0,17597,0,0,0,5439112,1950992,0,0,0,33,0,5439118,1951025,1951024,0,0,0,0,1942976,1942970,6,0.00030880285428944106,1978,0.10180291181313092,52,0,3,795.0298299628619,795.0302553044162,0.0002281064050027053,99.99984580001623,99.99989930000861,2.8691508755083736e-05,0.10036331520102773,0.10370523626523219,0.0016762914305932727,35.4016794,35.6226921,0.11148958116085833,57.3209,57.4348,0.059704857423831664,766.91,863.0763,53.43131393614922,corundum0,test/server/corundum0/runs
aggregate,loopback,loopback,512,5538343,4456027,80.45766892239374,1082315,1081310,1005,0.09288723825624659,0.08732289555567804,0.09880585005463871,885.8089612557484,99.99952726676223,885.8131487889274,10000,10000,0,80.0,82.7698,11.381025639091073,90.0,90.0,790.0,800.0189,249.34740304518022,890.0,990.0,46.4600989,1.4206881827075795,46.43,48.02968333333333,49.25676666666667,117.256,1.170978597859786,1092318,1092314,5548349,1113768,3073785329,605937786,0,0,0,22451,0,0,0,5548343,1091310,0,0,0,19,0,5548349,1091327,1091327,0,0,0,0,1082315,1082311,4,0.00036957248180397826,1001,0.09251801258516282,57,0,3,885.8082201251943,885.8096457535361,0.0007144994715595427,99.99944360007078,99.9996045401453,8.066029190915949e-05,0.09082559822007699,0.09590261172931441,0.0026694984818759694,46.4324887,46.4762072,0.02402180443409526,82.6597,82.9569,0.16287636415391996,785.1238,813.9983,14.459013362951161,corundum0,test/server/corundum0/runs
aggregate,loopback,loopback,768,5412507,4662447,86.14029191165758,750060,749390,670,0.08937060409046427,0.08285927919492139,0.09639316447576979,920.8499169317982,99.99854566681248,920.863309352518,10000,10000,0,110.0,108.87836666666666,6.63803324757867,113.33333333333333,113.33333333333333,803.3333333333334,827.0972666666667,243.28716760908006,920.0,1006.6666666666666,57.9359119,1.3354662904469174,57.88666666666667,59.44635,60.59003333333334,123.72266666666667,1.0054332099876655,760063,760059,5422513,783554,4392233940,616559820,0,0,0,24160,0,0,0,5422507,759390,0,0,0,12,0,5422513,759402,759402,0,0,0,0,750060,750056,4,0.0005332949361864075,666,0.08883777711998735,60,0,3,920.8454622859488,920.8539349658962,0.0042531810141500925,99.99806192011475,99.99898200020279,0.0004618688757532137,0.08772771875933273,0.0917242832040572,0.002090945406053996,57.8727984,57.9765757,0.05541140470507668,107.9886,110.3557,1.288299865455758,799.4919,865.6872,34.43762425260099,corundum0,test/server/corundum0/runs
aggregate,loopback,loopback,1024,5357723,4783679,89.28560576221867,574044,573379,665,0.1159027235744175,0.10742932222062496,0.12504376163860365,939.4234784527523,99.99722573374024,939.4495412844037,10000,10000,0,130.0,133.4857,7.145290482042148,140.0,140.0,786.6666666666666,802.6005666666666,248.69298375642782,870.0,996.6666666666666,68.29886986666668,1.2654080600100936,68.27,69.66968333333334,70.68307,134.45933333333332,0.979011067773444,584047,584042,5367729,602175,5721996417,623013858,0,0,0,18793,0,0,0,5367723,583379,0,0,0,10,0,5367729,583388,583388,0,0,0,0,574044,574039,5,0.0008710039660190756,660,0.11503272851748242,51,0,3,939.4157631953907,939.4289378436061,0.00687091982020113,99.99640448075937,99.99780686030573,0.0007313772074192557,0.1123656185596644,0.12019398263632436,0.003968297150455576,68.2746415,68.33263310000001,0.030148659661808266,133.3424,133.5705,0.12479619385221859,797.0525,808.7166,5.852755488087052,corundum0,test/server/corundum0/runs
